model,dataset,sampler,num_frames,n_items,n_instances,I_Acc,I_Acc_lo,I_Acc_hi,Q_Acc,V_Acc,Acc,yes_rate,TP,FP,FN,TN,invalid,sensitivity,specificity,youden_J,J_lo,J_hi,z_I_Acc_vs_chance,z_Acc_vs_chance
GPT-5.6-Luna-288x512,mbhuman,random,16,240,60,10.0,4.66,20.15,25.0,23.33,55.42,67.92,88,75,32,45,0,73.33,37.5,10.83,-0.9,22.57,1.2,1.68
Gemma-4-12B-it,mbhuman,random,16,240,60,0.0,-0.0,6.02,4.17,5.0,51.25,6.25,9,6,111,114,0,7.5,95.0,2.5,-3.62,8.62,-2.0,0.39
GPT-5.6-Luna-288x512,mbhuman,random,24,240,60,8.33,3.61,18.07,21.67,24.17,56.25,74.58,97,82,23,38,0,80.83,31.67,12.5,1.6,23.4,0.67,1.94
Gemma-4-12B-it,mbhuman,random,24,240,60,3.33,0.92,11.36,6.67,9.17,52.92,6.25,11,4,109,116,0,9.17,96.67,5.83,-0.25,11.91,-0.93,0.9
GPT-5.6-Luna-288x512,mbhuman,hornet,1,240,60,0.0,-0.0,6.02,3.33,3.33,51.67,1.67,4,0,116,120,0,3.33,100.0,3.33,0.12,6.55,-2.0,0.52
Gemma-4-12B-it,mbhuman,hornet,1,240,60,0.0,-0.0,6.02,0.83,1.67,37.08,2.23,2,2,88,87,61,2.22,97.75,-0.02,-4.36,4.31,-2.0,-4.0
GPT-5.6-Luna-288x512,mbhuman,hornet,4,240,60,5.0,1.71,13.7,18.33,14.17,51.67,31.67,40,36,80,84,0,33.33,70.0,3.33,-8.43,15.1,-0.4,0.52
Gemma-4-12B-it,mbhuman,hornet,4,240,60,0.0,-0.0,6.02,2.5,2.5,49.17,2.99,4,3,113,114,6,3.42,97.44,0.85,-3.51,5.22,-2.0,-0.26
GPT-5.6-Luna-288x512,mbhuman,hornet,8,240,60,5.0,1.71,13.7,17.5,18.33,52.5,44.17,56,50,64,70,0,46.67,58.33,5.0,-7.55,17.55,-0.4,0.77
Gemma-4-12B-it,mbhuman,hornet,8,240,60,0.0,-0.0,6.02,1.67,0.83,47.92,3.43,3,5,113,112,7,2.59,95.73,-1.69,-6.35,2.98,-2.0,-0.65
GPT-5.6-Luna-288x512,mbhuman,hornet,16,240,60,6.67,2.62,15.93,17.5,18.33,50.42,58.75,71,70,49,50,0,59.17,41.67,0.83,-11.62,13.29,0.13,0.13
Gemma-4-12B-it,mbhuman,hornet,16,240,60,1.67,0.29,8.86,4.17,5.83,50.83,5.02,7,5,112,115,1,5.88,95.83,1.72,-3.82,7.25,-1.47,0.26
GPT-5.6-Luna-288x512,mbhuman,hornet,24,240,60,10.0,4.66,20.15,23.33,27.5,55.0,61.67,80,68,40,52,0,66.67,43.33,10.0,-2.24,22.24,1.2,1.55
Gemma-4-12B-it,mbhuman,hornet,24,240,60,1.67,0.29,8.86,4.17,5.0,50.0,5.83,7,7,113,113,0,5.83,94.17,0.0,-5.93,5.93,-1.47,0.0
